"conceptId","fsn","synonyms"
"30742008","Abrasion AND/OR friction burn of nose without infection (disorder)","Abrasion AND/OR friction burn of nose without infection | Abrasion and/or friction burn of nose without infection"
"30742008","Abrasion AND/OR friction burn of nose without infection (disorder)","Abrasion AND/OR friction burn of nose without infection | Abrasion and/or friction burn of nose without infection"
"50293005","Abrasion AND/OR friction burn of penis with infection (disorder)","Abrasion AND/OR friction burn of penis with infection | Abrasion and/or friction burn of penis with infection"
"18823009","Abrasion AND/OR friction burn of penis without infection (disorder)","Abrasion AND/OR friction burn of penis without infection | Abrasion and/or friction burn of penis without infection"
"37776001","Abrasion AND/OR friction burn of perineum with infection (disorder)","Abrasion AND/OR friction burn of perineum with infection | Abrasion and/or friction burn of perineum with infection"
"23470002","Abrasion AND/OR friction burn of perineum without infection (disorder)","Abrasion AND/OR friction burn of perineum without infection | Abrasion and/or friction burn of perineum without infection"
"23470002","Abrasion AND/OR friction burn of perineum without infection (disorder)","Abrasion AND/OR friction burn of perineum without infection | Abrasion and/or friction burn of perineum without infection"
"26652002","Abrasion AND/OR friction burn of scalp with infection (disorder)","Abrasion AND/OR friction burn of scalp with infection | Abrasion and/or friction burn of scalp with infection"
"62603000","Abrasion AND/OR friction burn of scalp without infection (disorder)","Abrasion AND/OR friction burn of scalp without infection | Abrasion and/or friction burn of scalp without infection"
"10995009","Abrasion AND/OR friction burn of scapular region with infection (disorder)","Abrasion AND/OR friction burn of scapular region with infection | Abrasion and/or friction burn of scapular region with infection"
"30072009","Abrasion AND/OR friction burn of scapular region without infection (disorder)","Abrasion AND/OR friction burn of scapular region without infection | Abrasion and/or friction burn of scapular region without infection"
"84204007","Abrasion AND/OR friction burn of scrotum with infection (disorder)","Abrasion AND/OR friction burn of scrotum with infection | Abrasion and/or friction burn of scrotum with infection"
"57971009","Abrasion AND/OR friction burn of scrotum without infection (disorder)","Abrasion AND/OR friction burn of scrotum without infection | Abrasion and/or friction burn of scrotum without infection"
"64831005","Abrasion AND/OR friction burn of shoulder with infection (disorder)","Abrasion AND/OR friction burn of shoulder with infection | Abrasion and/or friction burn of shoulder with infection"
"90819008","Abrasion AND/OR friction burn of shoulder without infection (disorder)","Abrasion AND/OR friction burn of shoulder without infection | Abrasion and/or friction burn of shoulder without infection"
"400012003","Abrasion AND/OR friction burn of skin (disorder)","Abrasion AND/OR friction burn of skin | Abrasion and/or friction burn of skin"
"76531002","Abrasion AND/OR friction burn of testis with infection (disorder)","Abrasion AND/OR friction burn of testis with infection | Abrasion and/or friction burn of testis with infection"
"9090007","Abrasion AND/OR friction burn of testis without infection (disorder)","Abrasion AND/OR friction burn of testis without infection | Abrasion and/or friction burn of testis without infection"
"61341000","Abrasion AND/OR friction burn of thigh with infection (disorder)","Abrasion AND/OR friction burn of thigh with infection | Abrasion and/or friction burn of thigh with infection"
"56809002","Abrasion AND/OR friction burn of thigh without infection (disorder)","Abrasion AND/OR friction burn of thigh without infection | Abrasion and/or friction burn of thigh without infection"
"714002","Abrasion AND/OR friction burn of toe with infection (disorder)","Abrasion AND/OR friction burn of toe with infection | Abrasion and/or friction burn of toe with infection"
"34283004","Abrasion AND/OR friction burn of toe without infection (disorder)","Abrasion AND/OR friction burn of toe without infection | Abrasion and/or friction burn of toe without infection"
"32326006","Abrasion AND/OR friction burn of trunk with infection (disorder)","Abrasion AND/OR friction burn of trunk with infection"
"32326006","Abrasion AND/OR friction burn of trunk with infection (disorder)","Abrasion AND/OR friction burn of trunk with infection"
"78794000","Abrasion AND/OR friction burn of trunk without infection (disorder)","Abrasion AND/OR friction burn of trunk without infection | Abrasion and/or friction burn of trunk without infection"
"66371007","Abrasion AND/OR friction burn of upper arm with infection (disorder)","Abrasion AND/OR friction burn of upper arm with infection | Abrasion and/or friction burn of upper arm with infection"
"56842001","Abrasion AND/OR friction burn of upper arm without infection (disorder)","Abrasion AND/OR friction burn of upper arm without infection | Abrasion and/or friction burn of upper arm without infection"
"52895001","Abrasion AND/OR friction burn of vagina with infection (disorder)","Abrasion AND/OR friction burn of vagina with infection | Abrasion and/or friction burn of vagina with infection"
"51623004","Abrasion AND/OR friction burn of vagina without infection (disorder)","Abrasion AND/OR friction burn of vagina without infection | Abrasion and/or friction burn of vagina without infection"
"44690000","Abrasion AND/OR friction burn of vulva with infection (disorder)","Abrasion AND/OR friction burn of vulva with infection | Abrasion and/or friction burn of vulva with infection"
"36821007","Abrasion AND/OR friction burn of vulva without infection (disorder)","Abrasion AND/OR friction burn of vulva without infection | Abrasion and/or friction burn of vulva without infection"
"63848007","Abrasion AND/OR friction burn of wrist with infection (disorder)","Abrasion AND/OR friction burn of wrist with infection | Abrasion and/or friction burn of wrist with infection"
"23072002","Abrasion AND/OR friction burn of wrist without infection (disorder)","Abrasion AND/OR friction burn of wrist without infection | Abrasion and/or friction burn of wrist without infection"
"82117004","Abrasion AND/OR friction burn with infection (disorder)","Abrasion AND/OR friction burn with infection | Abrasion and/or friction burn with infection | Infected abrasion"
"82117004","Abrasion AND/OR friction burn with infection (disorder)","Abrasion AND/OR friction burn with infection | Abrasion and/or friction burn with infection | Infected abrasion"
"66097008","Abrasion AND/OR friction burn without infection (disorder)","Abrasion AND/OR friction burn without infection | Abrasion and/or friction burn without infection"
"66097008","Abrasion AND/OR friction burn without infection (disorder)","Abrasion AND/OR friction burn without infection | Abrasion and/or friction burn without infection"
"287128008","Abrasion NOS (disorder)","Abrasion NOS"
"439328007","Abrasion and/or friction burn of head and/or neck (disorder)","Abrasion and/or friction burn of head and/or neck"
"439328007","Abrasion and/or friction burn of head and/or neck (disorder)","Abrasion and/or friction burn of head and/or neck"
"441373001","Abrasion and/or friction burn of head and/or neck without infection (disorder)","Abrasion and/or friction burn of head and/or neck without infection"
"441373001","Abrasion and/or friction burn of head and/or neck without infection (disorder)","Abrasion and/or friction burn of head and/or neck without infection"
"609351004","Abrasion and/or friction burn of lower leg with infection (disorder)","Abrasion and/or friction burn of lower leg with infection"
"609349003","Abrasion and/or friction burn of lower leg without infection (disorder)","Abrasion and/or friction burn of lower leg without infection"
"609350003","Abrasion and/or friction burn of lower limb without infection (disorder)","Abrasion and/or friction burn of lower limb without infection"
"609363009","Abrasion and/or friction burn of upper limb without infection (disorder)","Abrasion and/or friction burn of upper limb without infection"
"609338009","Abrasion and/or friction burn of upper limb, infected (disorder)","Abrasion and/or friction burn of upper limb, infected"
"211304002","Abrasion hand, palm (disorder)","Abrasion hand, palm | Abrasion of skin of palm of hand"
"211304002","Abrasion hand, palm (disorder)","Abrasion hand, palm | Abrasion of skin of palm of hand"
"210990002","Abrasion head NOS (disorder)","Abrasion head NOS"
"211057007","Abrasion of abdominal wall, infected (disorder)","Abrasion of abdominal wall, infected | Infected abrasion of skin of anterior abdominal wall"
"211057007","Abrasion of abdominal wall, infected (disorder)","Abrasion of abdominal wall, infected | Infected abrasion of skin of anterior abdominal wall"
"211341001","Abrasion of ankle, infected (disorder)","Abrasion of ankle, infected | Infected abrasion of skin of ankle"
"211341001","Abrasion of ankle, infected (disorder)","Abrasion of ankle, infected | Infected abrasion of skin of ankle"
"211060000","Abrasion of anus, infected (disorder)","Abrasion of anus, infected | Infected abrasion of anus"
"211060000","Abrasion of anus, infected (disorder)","Abrasion of anus, infected | Infected abrasion of anus"
"211194001","Abrasion of arm, unspecified level without infection (disorder)","Abrasion of arm, unspecified level without infection"
"211199006","Abrasion of axilla, infected (disorder)","Abrasion of axilla, infected | Infected abrasion of skin of axilla"
"211199006","Abrasion of axilla, infected (disorder)","Abrasion of axilla, infected | Infected abrasion of skin of axilla"
"211058002","Abrasion of back, infected (disorder)","Abrasion of back, infected | Infected abrasion of skin of back"
"211058002","Abrasion of back, infected (disorder)","Abrasion of back, infected | Infected abrasion of skin of back"
"211056003","Abrasion of breast, infected (disorder)","Abrasion of breast, infected | Infected abrasion of skin of breast"
"211056003","Abrasion of breast, infected (disorder)","Abrasion of breast, infected | Infected abrasion of skin of breast"
"110152008","Abrasion of buccal mucosa (disorder)","Abrasion of buccal mucosa"
"211059005","Abrasion of buttock, infected (disorder)","Abrasion of buttock, infected | Infected abrasion of skin of buttock"
"211059005","Abrasion of buttock, infected (disorder)","Abrasion of buttock, infected | Infected abrasion of skin of buttock"
"283053007","Abrasion of cheek (disorder)","Abrasion of cheek | Graze of cheek"
"283053007","Abrasion of cheek (disorder)","Abrasion of cheek | Graze of cheek"
"211055004","Abrasion of chest wall, infected (disorder)","Abrasion of chest wall, infected | Infected abrasion of skin of chest"
"211055004","Abrasion of chest wall, infected (disorder)","Abrasion of chest wall, infected | Infected abrasion of skin of chest"
"110168002","Abrasion of chin (disorder)","Abrasion of chin | Abrasion of skin of chin"
"110167007","Abrasion of circumoral region of face (disorder)","Abrasion of circumoral region of face | Abrasion of mouth | Abrasion of perioral region of face | Abrasion of skin of circumoral region of face"
"41981000087106","Abrasion of conjunctiva of left eye (disorder)","Abrasion of conjunctiva of left eye | Abrasion of left conjunctiva"
